Date,Link,Message
2026-05-14 11:04:24,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7460157447266217985,Congratulations!
2026-04-07 13:57:27,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7447263965824430080,What was the latency on the link?
2026-03-14 12:10:38,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7438406331667197952,I am so happy that you landed in a great place! You are extremely talented and deserve to be somewhere you can soar. I loved working together. If I’m in Cedar Rapids we can meet up for some tacos.
2026-02-13 21:33:40,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7428147209684099072,I suppose “a beer” is not the correct answer to this question 😝
2026-02-06 18:54:02,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7424849970895196160,"I couldn’t agree more. Getting these “little things” right, consistently, makes it easier to troubleshoot and work on things in the future. I tell my kids, “Do your future self a favor,” like untying your shoes when you take them off. It might take more time right now but you don’t know how much time you have tomorrow."
2025-12-25 15:52:05,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7409395816420966400,"Does the person eating it like it? If so, it’s perfect!"
2025-12-25 15:46:11,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7406340518936387584,Welcome to the team!
2025-11-05 00:20:14,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7391533561025159169,Congratulations!
2025-10-16 21:14:17,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7384277525826478081,I try it about once every 4-5 months and I’m always disappointed.
2025-10-06 19:39:28,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7380965122397306881,Adam Austin also 0 calories!
2025-09-29 22:28:30,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7378510470955184128,Amazing! Can’t wait to see a show!
2025-09-29 18:35:15,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7378484555202211840,Congratulations! Wel deserved!
2025-09-06 12:54:06,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7369915258787991552,Congratulations!
2025-09-02 14:49:37,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7368649585767931904,Congratulations!
2025-09-02 13:25:59,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7368591959764021248,I’d take a down interface/circuit over a degraded one every time.
2025-05-23 13:10:04,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7331397941292670977,Congratulations!
2025-04-18 11:25:16,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7318632476157923328,Congrats Jim! 🎉
2025-02-28 00:18:52,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7300333362408312833,Congratulations! I’m so happy for you!
2025-01-02 22:53:43,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7280326975334879233,I’ve been looking for you! We’ll find a place that will realize what a catch you are. I’ve been there (at least unemployed) and it sucks! Hang in there!
2024-11-12 03:12:28,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7260041594853031936,"Hey Mike, I’ll be on the lookout for opportunities for you. Feel free to use me as a reference!"
2024-05-22 16:39:09,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7198511305794740226,Congratulations!
2024-04-09 19:39:59,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7183214221260648448,Congratulations! I’m so happy for you.
2024-01-28 03:34:17,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7156741966515363840,Congratulations Audra! So happy for you!
2023-03-07 00:07:37,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7038627577825026048,Congratulations Mark!
2023-01-23 18:48:04,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A101362-7023198778631319552,I was always fond of the 4948E. We used the hell out of these as L3 switches and never had any problems.
2022-12-02 01:50:34,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7003740803533615105,"Thank you so much for sharing this, Kristi! I really appreciate the support and added reach."
2022-11-30 14:05:47,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6995756409887891456,https://www.etsy.com/shop/SOBWoodworking
2022-11-28 03:57:33,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7002815460576555008,Congratulations! Well deserved!
2022-11-17 15:58:01,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6997715078233960448,"Jeff Busch Thanks for the info. I just submitted my application, Christopher Cashell"
2022-10-13 22:25:26,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6980594645563039744,Very nice! I need to reach out to you and catch up one of these days.
2022-09-30 20:04:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6981663663753478144,"Matt, it was always a pleasure working with you. Good luck on your next chapter."
2022-09-10 12:27:24,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6972966843116380160,"Thanks, Megan Brink! I always liked working with you and Prairie."
2022-09-09 15:35:37,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6974025628920512512,Thanks for talking with me yesterday about this very thing. You've got some great advice. It really helps to talk to people that have been through something like that more than once.
2022-09-08 20:09:14,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6973727545418534913,"Leslie, I feel your pain. I heard those exact words the same day you did. Hang in there. I am sure something great is just around the corner!"
2022-09-08 01:27:35,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6970372976420544512,So happy for you! It is very well deserved.
2022-03-27 15:44:33,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6913445393787727872,"Good luck, Matt. It was a pleasure working with you!"
2021-10-26 21:00:57,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6857400977444757504,We'll miss you. Good luck!
2021-03-24 14:53:30,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6772906530921558016,You were always great to work with! I wish you all the best with whatever your next adventure is.
2019-11-20 21:57:34,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6602399593453891584,Congrats Sally
2019-05-24 15:01:12,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6537038242250838017,Congrats on the new job!
